AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,TYP_VEH_5,TYP_VEH_6,TYP_VEH_7,TYP_VEH_8,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,MOUV_VEH_5,MOUV_VEH_6,MOUV_VEH_7,MOUV_VEH_8,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4,SIGN_VEH_5,SIGN_VEH_6,SIGN_VEH_7,SIGN_VEH_8
2012,2012-01-02,18:35,LU,3,0,0,1,1,2,O,10043,,,,,,ST JEAN BAPTISTE O,1,AV ROULEAU,,,11,13,2,2,32,50,17,3,1,16,06,21,0,0,1,1,76,61,,,,,,,41,41,,,,,,,33,33,,,,,,
2012,2012-01-05,21:50,JE,3,0,0,1,1,2,O,49058,,,,,,FOSTER,1,JANELLE,N,200,11,14,2,3,34,50,12,3,1,17,06,33,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-01-09,21:15,LU,3,0,0,1,1,2,O,66023,,,,,,ROSEMONT,1,DES ERABLES,,,11,14,1,3,,,12,3,1,11,06,21,0,0,1,1,61,76,,,,,,,45,41,,,,,,,40,31,,,,,,
2012,2012-01-10,15:40,MA,3,0,0,1,1,2,O,66023,,,,,,ST ANTOINE,1,MANSFIELD,,,12,13,3,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,44,47,,,,,,,38,38,,,,,,
2012,2012-01-10,0:15,MA,3,0,0,1,1,2,O,58007,134,,,,,TASCHEREAU,1,ANGELE,,,11,12,4,3,32,70,17,3,1,12,06,88,0,0,1,1,61,76,,,,,,,43,ND,,,,,,,34,ND,,,,,,
2012,2012-01-12,15:08,JE,3,0,0,1,1,4,O,66087,,,,02330,,HERRON,1,LAKE,E,50,11,11,1,3,34,50,17,1,1,16,06,27,0,0,1,1,61,61,76,61,,,,,55,41,41,49,,,,,40,31,31,ND,,,,
2012,2012-01-12,23:27,JE,3,0,0,1,1,3,O,66023,,,,,,,1,ST HUBERT ET MARIE ANNE,,,11,14,2,2,32,50,17,3,1,16,06,21,0,0,1,1,61,76,76,,,,,,41,41,41,,,,,,33,33,33,,,,,
2012,2012-01-16,18:59,LU,1,1,0,0,1,3,O,66023,,,,,,CHRISTOPHE COLOMB,,ST ZOTIQUE,,,11,14,3,2,32,50,11,3,1,15,06,21,1,0,0,1,76,61,61,,,,,,41,41,49,,,,,,ND,37,ND,,,,,
2012,2012-01-21,0:18,SA,3,0,0,1,1,2,O,66025,,,,04160,,PARC LAFONTAINE,1,RACHEL,N,10,11,14,1,7,33,50,12,3,1,16,06,99,0,0,1,1,68,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-01-25,6:54,ME,3,0,0,1,1,2,,57005,,,O,,,MARTEL,1,BOURGOGNE,,,21,14,2,2,31,40,12,1,1,18,05,23,0,0,1,1,61,76,,,,,,,43,41,,,,,,,ND,ND,,,,,,
2012,2012-01-26,8:50,JE,3,0,0,1,1,2,O,81017,,,,,,ISABELLE,1,RIEL,,,13,13,3,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,45,41,,,,,,,31,40,,,,,,
2012,2012-02-02,16:05,JE,3,0,0,1,1,2,O,65005,,,,00941,,ROSE DE LIMA H7E2S7,1,CONCORDE,N,,11,13,3,2,32,50,11,1,1,12,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,37,35,,,,,,
2012,2012-02-04,15:04,SA,3,0,0,1,1,2,O,73035,335,,,,,BD STE ANNE,1,3E AV,,,11,12,2,3,32,50,11,1,1,12,06,99,0,0,1,1,76,61,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-02-06,12:19,LU,3,0,0,1,1,2,O,66023,138,,,,,SHERBOOKE,1,CITY COUNCILLORS,O,,11,12,3,3,32,50,11,1,1,12,06,26,0,0,1,1,76,61,,,,,,,41,44,,,,,,,31,31,,,,,,
2012,2012-02-06,12:12,LU,3,0,0,1,1,2,O,49058,,,,00880,,CORMIER,1,HAGGERTY,S,50,11,13,3,2,33,50,12,1,,12,,99,0,0,1,1,76,61,,,,,,,45,41,,,,,,,31,31,,,,,,
2012,2012-02-07,,MA,3,0,0,1,1,2,O,66023,,,,,,GIROUARD,1,N-D DE GRACE,,50,13,13,3,1,34,30,11,3,1,11,06,33,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-02-09,14:15,JE,3,0,0,1,1,2,O,66023,,,,,,RENE LEVESQUE,1,UNIVERSITY,,,11,13,3,3,33,,11,1,1,11,,99,0,0,1,1,61,76,,,,,,,41,41,,,,,,,33,ND,,,,,,
2012,2012-02-10,11:05,VE,3,0,0,2,2,2,O,02028,132,,,00070,,BD RENE LEVESQUE,,,,,14,12,2,3,34,70,11,1,1,12,07,26,0,0,1,1,61,76,,,,,,,44,41,,,,,,,31,31,,,,,,
2012,2012-02-14,20:25,MA,3,0,0,1,1,2,O,52017,138,,,00344,,GDE COTE O,1,RENE RONDEAU,E,800,11,12,2,5,34,70,12,3,1,12,06,33,0,0,1,1,61,76,,,,,,,41,47,,,,,,,31,31,,,,,,
2012,2012-02-16,19:47,JE,3,0,0,1,1,2,O,43027,,,,07110,,BD BOURQUE,,,,,11,12,3,4,99,80,11,3,1,12,07,99,0,0,1,1,62,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-02-17,23:30,VE,3,0,0,1,1,2,O,70052,,,,,,COUSINEAU,1,ALEXANDRE,,,11,13,1,3,32,50,11,3,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-02-18,20:20,SA,3,0,0,1,1,2,O,57005,,,,02290,,BOURGOGNE,1,LAFONTAINE,O,50,11,13,2,2,38,50,12,3,1,11,06,99,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-02-21,10:49,MA,3,0,0,1,1,2,O,58227,,,,00120,,JACQUES CARTIER E,,,,,11,13,3,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,37,34,,,,,,
2012,2012-02-21,6:00,MA,3,0,0,1,1,2,O,64008,,,,,,CHARTRAND,1,ST PIERRE,,,11,14,2,2,32,40,11,2,1,11,06,21,0,0,1,1,61,76,,,,,,,45,41,,,,,,,40,40,,,,,,
2012,2012-02-22,16:19,ME,3,0,0,1,1,2,O,66023,,,,,,ST HUBERT,1,LEGENDRE,,,11,14,3,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,55,41,,,,,,,34,34,,,,,,
2012,2012-02-22,19:04,ME,3,0,0,1,1,2,O,75017,,,,,,MELANCON,1,FILION,,,11,14,2,3,32,50,11,3,1,12,06,40,0,0,1,1,61,76,,,,,,,44,ND,,,,,,,34,ND,,,,,,
2012,2012-02-23,13:35,JE,3,0,0,1,1,2,O,58227,134,,,,,TASCHEREAU,1,AUGUSTE,,,11,12,3,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,43,41,,,,,,,37,ND,,,,,,
2012,2012-02-23,11:31,JE,3,0,0,1,1,2,O,39062,,,,00199,,BOIS FRANCS S,1,JUTRAS E,S,8,11,13,3,3,32,50,12,1,1,12,06,99,0,0,1,1,61,76,,,,,,,45,45,,,,,,,31,31,,,,,,
2012,2012-02-29,13:00,ME,3,0,0,1,1,2,O,66023,,,,,,SHERBROOKE,1,PARTHENAIS,,,11,13,3,3,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,33,33,,,,,,
2012,2012-02-29,19:53,ME,3,0,0,1,1,2,O,66023,,,,,,,,,,,11,14,2,2,32,50,11,3,1,11,06,21,0,0,1,1,61,76,,,,,,,41,43,,,,,,,34,34,,,,,,
2012,2012-03-03,15:10,SA,3,0,0,1,1,2,O,66025,,,,,,ROSEMONT,1,ST HUBERT,,,11,13,3,3,32,40,11,1,1,12,06,99,0,0,1,1,61,76,,,,,,,43,41,,,,,,,33,33,,,,,,
2012,2012-03-04,15:00,DI,3,0,0,1,1,2,O,23027,,,,00810,,BD DE LA CHAUDIERE FACE,,,,,11,13,2,4,34,50,11,1,1,12,07,33,0,0,1,1,61,76,,,,,,,41,57,,,,,,,31,31,,,,,,
2012,2012-03-04,19:24,DI,3,0,0,1,1,2,O,61035,,,,,,GEORGE,1,PELLETIER,,,11,14,2,2,32,50,17,4,1,16,06,99,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-05,16:10,LU,3,0,0,1,1,2,O,65005,,,,00357,,DES PRAIRIES,2,FACE,S,,11,13,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,52,41,,,,,,,31,31,,,,,,
2012,2012-03-06,20:45,MA,3,0,0,1,1,2,O,66023,,,,,,IBERVILLE,1,ST JOSEPH,,,14,13,2,3,32,50,11,3,,11,06,28,0,0,1,1,ND,76,,,,,,,ND,ND,,,,,,,ND,ND,,,,,,
2012,2012-03-06,15:15,MA,3,0,0,1,1,2,O,56083,,,,,,SEMINAIRE,1,BERTHIER,,,11,13,3,3,32,50,11,1,1,11,06,33,0,0,1,1,61,76,,,,,,,99,47,,,,,,,33,33,,,,,,
2012,2012-03-06,7:30,MA,3,0,0,1,1,2,O,57040,,,,,,BROMONT,1,DUVERNAY,,,11,14,2,3,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-08,21:50,JE,3,0,0,1,1,2,O,81017,,,,,,ST ANTOINE,1,PTE GATINEAU,,,11,14,2,3,32,50,14,3,1,12,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-08,18:05,JE,3,0,0,1,1,2,O,58227,,,,,,VICTORIA,1,BURTON,,,11,13,3,3,32,,14,3,,12,,23,0,0,1,1,61,76,,,,,,,43,41,,,,,,,40,31,,,,,,
2012,2012-03-11,13:09,DI,3,0,0,1,1,2,O,65005,,,,,,CURE LABELLE,1,DE LA CANARDIERE,E,,11,13,3,3,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,43,41,,,,,,,34,34,,,,,,
2012,2012-03-12,6:54,LU,3,0,0,1,1,2,O,66023,,,,,,DU COLLEGE,1,ALEXIS NIHON,,,11,13,2,2,32,40,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-13,15:51,MA,3,0,0,1,1,2,O,66023,,,,,,ST DENIS,1,CHERRIER,S,,11,13,3,3,32,,14,1,1,12,,26,0,0,1,1,61,76,,,,,,,44,41,,,,,,,37,37,,,,,,
2012,2012-03-14,16:49,ME,3,0,0,1,1,2,,66023,,,,,,JEAN TALON,1,DES ERABLES,,,11,14,3,3,32,,14,1,1,12,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,40,,,,,,
2012,2012-03-16,7:30,VE,3,0,0,1,1,2,O,23027,,,,,,3E AV ET 4E RUE,,,,,11,14,2,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,44,43,,,,,,,33,33,,,,,,
2012,2012-03-16,4:40,VE,2,0,1,0,1,2,O,43027,,,,03534,,12E AV,1,CH DUPLESSIS,E,300,14,12,2,5,34,70,14,4,1,12,07,33,0,1,0,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-16,19:45,VE,3,0,0,1,1,2,O,42040,220,,O,00630,,,,,,,,12,2,5,99,,13,3,1,11,09,99,0,0,1,1,61,76,,,,,,,52,ND,,,,,,,ND,ND,,,,,,
2012,2012-03-17,18:15,SA,3,0,0,1,1,2,O,66023,,,,08505,,ST MICHEL,,,,,11,13,3,3,34,,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,55,41,,,,,,,31,31,,,,,,
2012,2012-03-17,14:48,SA,3,0,0,1,1,2,O,45072,112,,E,,,PRINCIPALE O,1,CH MILLETTA,,,21,19,1,5,31,70,11,1,1,11,06,23,0,0,1,1,61,76,,,,,,,43,41,,,,,,,41,31,,,,,,
2012,2012-03-18,15:10,DI,3,0,0,1,1,2,O,66023,,,,09501,,BD GOUIN O,,,,,11,13,2,2,33,50,11,1,1,11,09,99,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,ND,,,,,,
2012,2012-03-18,17:10,DI,3,0,0,1,1,2,O,66023,,,,,,BD LASALLE,1,ST PATRICK,,,11,14,3,2,32,,11,1,1,11,05,24,0,0,1,1,61,76,,,,,,,44,ND,,,,,,,40,ND,,,,,,
2012,2012-03-18,15:28,DI,3,0,0,1,1,2,O,66023,,,,,,PAPINEAU,1,MONT ROYAL,,,11,14,3,3,32,,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,37,ND,,,,,,
2012,2012-03-18,15:20,DI,3,0,0,1,1,2,O,06802,132,,O,00132,,BD PERRON O,1,MAIN,O,,11,,2,2,32,70,11,1,1,11,07,99,0,0,1,1,61,76,,,,,,,43,ND,,,,,,,41,ND,,,,,,
2012,2012-03-18,10:15,DI,3,0,0,1,1,2,O,06013,,,,00030,,LACROIX,,,N,15,11,14,2,2,34,50,12,1,1,12,06,21,0,0,1,1,61,76,,,,,,,41,45,,,,,,,31,31,,,,,,
2012,2012-03-19,18:00,LU,3,0,0,1,1,2,,66023,,,,,,DE BIENVILLE,1,BERRI,E,,11,14,4,3,32,50,11,2,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-19,8:22,LU,2,0,1,0,1,2,O,43027,,,,06952,,BD BOURQUE,,,,,13,12,3,3,34,80,11,1,1,11,07,33,0,1,0,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-19,20:02,LU,3,0,0,1,1,2,O,72005,344,,E,,,CH D OKA,1,GUY,,,11,12,2,3,32,50,11,3,1,11,06,24,0,0,1,1,61,76,,,,,,,44,41,,,,,,,40,31,,,,,,
2012,2012-03-19,11:45,LU,3,0,0,1,1,2,O,48028,,,,,,DU COLLEGE,1,DESLANDES,E,3,11,14,2,1,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,52,41,,,,,,,31,31,,,,,,
2012,2012-03-20,21:00,MA,3,0,0,1,1,2,O,66023,,,,,,LAURIER E,1,ST DENIS,,,11,13,1,3,32,50,11,3,1,11,05,28,0,0,1,1,68,76,,,,,,,43,41,,,,,,,33,33,,,,,,
2012,2012-03-20,13:34,MA,3,0,0,1,1,2,O,66023,,,,,,GOUIN,1,PIGEON,O,15,11,13,2,3,33,40,11,1,1,11,06,99,0,0,1,1,76,61,,,,,,,41,49,,,,,,,31,31,,,,,,
2012,2012-03-20,7:59,MA,3,0,0,1,1,2,O,47017,,,,00000,,CABANA,1,DESJARDINS N,,,11,14,2,2,32,50,11,1,1,11,06,26,0,0,1,1,61,76,,,,,,,44,41,,,,,,,40,ND,,,,,,
2012,2012-03-20,14:04,MA,3,0,0,1,1,2,O,72010,,,,,,20E AV,2,PISTE CYCLABLE,E,,11,13,5,2,32,50,11,1,1,11,05,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,31,,,,,,
2012,2012-03-20,19:00,MA,3,0,0,1,1,2,O,39062,,,,,,BD JUTRAS O,,CARTIER,,,11,13,3,2,32,50,11,2,1,11,06,21,0,0,1,1,61,76,,,,,,,46,41,,,,,,,40,40,,,,,,
2012,2012-03-21,8:55,ME,2,0,1,0,1,2,O,66023,,,,,,LAURENTIEN,1,LOUISBOURG,,,11,13,3,3,32,50,11,1,5,11,06,26,0,1,0,1,61,76,,,,,,,41,44,,,,,,,34,34,,,,,,
2012,2012-03-21,17:30,ME,3,0,0,1,1,2,O,66023,,,,,,,1,SHERBROOKE O ET N-D DE GRACE,,,11,13,3,3,33,,11,1,1,11,06,99,0,0,1,1,76,61,,,,,,,41,55,,,,,,,31,31,,,,,,
