AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4
2013,2013-01-01,13:12,MA,3,0,0,1,1,2,O,58227,,,,,,ROLAND THERRIEN,1,CURE POIRIER E,,,11,13,3,3,32,50,11,1,1,15,06,21,0,0,1,1,76,61,,,41,41,,,33,33,,
2013,2013-01-15,15:00,MA,3,0,0,1,1,2,O,56083,,,,,,SEMINAIRE N,1,FOCH,E,,11,13,5,3,32,50,11,3,1,11,06,21,0,0,1,1,61,76,,,43,41,,,40,31,,
2013,2013-01-16,8:00,ME,3,0,0,1,1,2,O,65005,,,,01200,,BD DE LA CONCORDE E,1,AMPERE,O,40,13,13,5,3,33,50,11,1,1,11,07,99,0,0,1,1,61,76,,,47,41,,,99,31,,
2013,2013-01-18,19:00,VE,3,0,0,1,1,2,O,66023,,,,,,ST LAURENT,1,DES PINS,S,10,11,13,1,3,33,50,12,3,1,11,06,99,0,0,1,1,68,76,,,47,41,,,34,34,,
2013,2013-01-25,15:30,VE,3,0,0,1,1,2,O,66023,,,,,,MAISONNEUVE,1,UNION,,,11,13,1,3,32,50,12,2,5,18,05,27,0,0,1,1,61,76,,,44,41,,,33,33,,
2013,2013-01-30,10:00,ME,3,0,0,1,1,2,O,66102,,,,02738,,ST CHARLES FACE AU,,,,,11,13,1,3,34,50,12,1,1,16,09,25,0,0,1,1,61,76,,,43,41,,,31,99,,
2013,2013-02-05,15:53,MA,3,0,0,1,1,2,O,61035,,,,,,PELLETIER,1,ST GEORGES,,,11,14,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-02-07,14:14,JE,3,0,0,1,1,2,O,73010,117,,S,00095,,BD LABELLE,,,S,20,11,12,3,3,34,60,11,1,1,16,,38,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-02-09,13:30,SA,1,1,0,0,1,2,O,58227,,,,,,JOLIETTE,1,DESAULNIERS,N,,11,13,3,2,32,50,11,1,1,12,06,99,1,0,0,1,61,76,,,41,56,,,37,34,,
2013,2013-02-15,16:15,VE,3,0,0,1,1,2,O,66023,,,,00282,,ST VIATEUR FACE AU,1,AV DU PARC,,,11,13,2,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-02-16,8:50,SA,3,0,0,1,1,2,O,66023,,,,,,ATWATER,1,RUFUS ROCKHEAD,,,11,14,2,3,32,40,11,1,1,11,06,21,0,0,1,1,76,61,,,41,45,,,40,40,,
2013,2013-02-18,21:30,LU,3,0,0,2,2,2,O,56083,,,,,,BD INDUSTRIEL,1,GAUDETTE,,,11,13,3,4,32,50,11,3,1,11,06,99,0,0,2,2,61,76,,,43,41,,,40,31,,
2013,2013-02-18,7:03,LU,2,0,1,0,1,2,O,94068,,,,,,RENE LEVESQUE,1,ROYAUME,,,11,13,3,3,32,70,11,1,1,11,02,21,0,1,0,1,61,76,,,41,41,,,37,99,,
2013,2013-02-19,8:00,MA,3,0,0,1,1,2,O,64008,,,,01371,,GDE AL,,,,,11,13,4,3,33,50,11,1,1,14,09,21,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-02-20,12:40,ME,3,0,0,1,1,2,O,70052,,,,,,AV DU CENTENAIRE,1,DUFFERIN,,,11,13,1,3,32,50,17,1,1,16,06,99,0,0,1,1,61,76,,,43,41,,,33,33,,
2013,2013-02-25,18:43,LU,3,0,0,1,1,2,O,70052,,,,00180,,SALABERRY,1,ACADEMIE,E,10,11,13,3,3,32,50,14,3,1,12,06,33,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-02-27,16:35,ME,3,0,0,1,1,2,,66023,,,,,,ROY,1,COLONIALE,O,1,11,14,1,2,32,40,17,1,1,16,06,99,0,0,1,1,61,76,,,41,41,,,31,99,,
2013,2013-02-27,7:34,ME,3,0,0,1,1,2,O,65005,,,,,,CURE LABELLE,1,AUT DES LAURENTIDES,,,13,13,5,3,37,50,12,1,1,11,06,99,0,0,1,1,61,76,,,55,ND,,,31,ND,,
2013,2013-02-27,8:43,ME,3,0,0,1,1,2,O,23027,,,,,,L AQUEDUC,1,FRANKLIN,,,14,14,2,,32,50,11,1,1,12,06,99,0,0,1,1,61,76,,,41,ND,,,35,ND,,
2013,2013-03-07,11:02,JE,3,0,0,1,1,2,O,40043,,,S,00246,,ST EDMOND,,,,,11,14,2,2,34,50,12,1,1,11,06,21,0,0,1,1,61,76,,,41,45,,,31,31,,
2013,2013-03-08,13:50,VE,3,0,0,1,1,2,O,66023,,,,,,DEZERY,1,ONTARIO,,,11,14,1,2,33,40,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,34,34,,
2013,2013-03-11,8:50,LU,3,0,0,1,1,2,O,66023,,,,,,ST DOMINIQUE,1,DE MAISONNEUVE,S,,11,13,1,2,32,50,11,1,1,11,05,27,0,0,1,1,61,76,,,41,41,,,37,37,,
2013,2013-03-12,19:54,MA,3,0,0,1,1,2,O,66023,,,,,,CONNAUGHT,1,SHERBROOKE O,,,11,13,3,2,32,,14,3,1,12,06,21,0,0,1,1,61,76,,,44,41,,,40,31,,
2013,2013-03-13,12:58,ME,3,0,0,1,1,2,O,61045,,,,,,,1,MAXIME,E,25,11,13,2,,33,70,11,1,,11,,99,0,0,1,1,61,76,,,41,ND,,,31,ND,,
2013,2013-03-15,15:39,VE,3,0,0,1,1,2,O,47017,,,,00048,,YOUNG,1,ALEXANDRA,S,25,11,14,2,2,33,50,12,1,1,11,06,27,0,0,1,1,61,76,,,41,51,,,31,31,,
2013,2013-03-16,11:30,SA,3,0,0,1,1,2,O,87090,,,,,,1RE RUE O,1,1RE AV O,,,11,14,2,2,32,50,11,1,,16,06,37,0,0,1,1,61,76,,,41,41,,,31,99,,
2013,2013-03-17,19:34,DI,2,0,1,0,1,2,O,66055,,,,05627,,WESTMINSTER FACE,,,,,11,14,3,2,33,50,11,3,1,11,06,33,0,1,0,1,61,76,,,41,41,,,31,ND,,
2013,2013-03-17,15:55,DI,3,0,0,1,1,2,O,58012,,,,,,GREEN,1,MERTON,O,,11,14,2,2,32,30,11,1,1,11,06,21,0,0,1,1,61,76,,,45,41,,,40,40,,
2013,2013-03-21,13:35,JE,3,0,0,1,1,2,O,66023,,,,,,ST ANTOINE,1,GEORGES VANIER,,,14,13,1,2,32,,11,1,1,12,06,26,0,0,1,1,61,76,,,44,41,,,34,34,,
2013,2013-03-21,20:50,JE,3,0,0,1,1,2,,66023,,,,00380,,SHERBROOKE O,,,,,11,13,3,3,33,50,12,2,1,11,06,26,0,0,1,1,76,61,,,41,44,,,31,31,,
2013,2013-03-21,16:44,JE,3,0,0,1,1,2,O,67030,132,,O,04780,,,1,BREBEUF,O,150,11,12,3,3,99,70,11,1,1,12,10,99,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-03-22,9:30,VE,3,0,0,1,1,2,O,66023,,,,03840,,ST URBAIN,,,,,13,13,1,2,33,,11,1,1,11,05,99,0,0,1,1,ND,76,,,ND,41,,,ND,31,,
2013,2013-03-25,10:10,LU,3,0,0,1,1,2,O,66023,,,,,,MACRAY,,DE MAISONNEUVE,,,11,13,1,3,32,,11,1,,12,,99,0,0,1,1,61,76,,,44,ND,,,ND,ND,,
2013,2013-03-25,13:50,LU,1,1,0,0,1,2,O,87090,393,,,,,2E RUE E,1,9E AV E,,,11,12,3,3,32,50,12,1,1,11,07,28,1,0,0,1,63,76,,,43,47,,,37,37,,
2013,2013-03-26,8:35,MA,3,0,0,1,1,2,O,66023,,,,,,CHAMBLY,1,LA FONTAINE,,,11,14,1,2,32,40,11,1,1,11,06,21,0,0,1,1,61,76,,,ND,41,,,ND,31,,
2013,2013-03-26,14:38,MA,3,0,0,1,1,2,O,37067,,,,,,COTE LAFLECHE,1,DES FORGES,,,12,13,3,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,42,41,,,34,40,,
2013,2013-03-26,14:10,MA,3,0,0,1,1,2,O,12072,,,,00215,,LAFONTAINE,,FACE AU,,,11,13,2,3,34,30,12,1,1,11,06,26,0,0,1,1,61,76,,,44,41,,,31,31,,
2013,2013-03-27,23:00,ME,3,0,0,1,1,2,O,66023,,,,04070,,ST DENIS,,,,,11,13,3,3,33,50,11,3,1,11,06,99,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-03-27,22:20,ME,3,0,0,1,1,2,O,66023,,,,04292,,LAVAL,1,MARIE ANNE,N,30,11,14,1,2,32,,14,3,1,12,,35,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-03-28,0:27,JE,3,0,0,1,1,2,O,66023,,,,,,ST LAURENT,1,ST JOSEPH,,,11,13,3,3,32,50,12,3,1,12,06,21,0,0,1,1,61,76,,,41,41,,,37,33,,
2013,2013-03-28,8:02,JE,3,0,0,1,1,2,O,58227,,,,,,CURE POIRIER O,1,JOLIETTE,,,11,13,3,3,32,50,11,1,1,,06,21,0,0,1,1,76,61,,,41,41,,,38,37,,
2013,2013-03-28,8:56,JE,3,0,0,1,1,2,O,23027,,,,01159,,ST VALLIER O,,,,,11,13,2,2,34,50,13,1,1,12,07,34,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-03-28,23:50,JE,3,0,0,1,1,2,O,23027,,,,,,PLANTE,1,BEAUCAGE,,,11,13,2,2,32,50,12,3,1,12,06,28,0,0,1,1,66,76,,,43,41,,,37,37,,
2013,2013-03-29,13:20,VE,3,0,0,1,1,2,O,34025,,,,00263,,DE L EGLISE,1,ST DENIS,N,50,11,13,2,2,33,40,11,1,1,11,06,28,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-03-30,13:10,SA,3,0,0,1,1,2,O,23027,,,,01555,,TALBOT,,,,,13,13,2,5,33,50,11,1,,11,,99,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-03-30,19:05,SA,3,0,0,1,1,2,O,23027,,,,,,DES PLATANES,1,TAGETES,S,,13,14,2,2,32,50,11,1,1,11,,99,0,0,1,1,61,76,,,41,99,,,31,31,,
2013,2013-03-31,14:35,DI,3,0,0,1,1,2,N,62037,,,,03515,,QUEEN,,,,,11,21,9,3,99,,11,1,1,11,,21,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-02,8:15,MA,3,0,0,1,1,2,O,42098,,,,00254,,CRAIG,,,,,11,13,2,2,99,50,11,1,1,11,09,99,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-04-03,16:00,ME,1,1,0,0,1,3,O,66023,,,,,,WELLINGTON,1,DE LA MONTAGNE,,10,13,13,4,3,34,50,11,1,1,11,06,99,1,0,0,1,63,76,61,,45,41,47,,33,33,33,
2013,2013-04-04,11:15,JE,3,0,0,1,1,2,O,66023,,,,,,DE MAISONNEUVE,1,STANLEY,,,11,13,1,3,32,50,11,1,1,11,05,26,0,0,1,1,61,76,,,44,41,,,ND,ND,,
2013,2013-04-04,8:55,JE,3,0,0,1,1,2,O,66023,,,,00911,,JEAN TALON,1,BOYER,O,10,11,13,3,3,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-04,13:40,JE,3,0,0,1,1,2,O,71070,,,,,,5E AV,1,KENDALL,,,11,13,2,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-04-05,19:40,VE,3,0,0,1,1,2,O,66023,,,,,,,1,,,,11,13,3,3,32,40,11,3,1,11,06,26,0,0,1,1,61,76,,,44,41,,,33,33,,
2013,2013-04-05,14:00,VE,3,0,0,1,1,2,O,66023,,,,,,,1,FLEURY ET ESPLANADE,,,11,13,2,2,32,50,11,1,1,11,06,21,0,0,1,1,76,61,,,41,41,,,34,37,,
2013,2013-04-05,15:00,VE,2,0,1,0,1,2,O,39062,,,,,,BD JUTRAS E,1,BD BOIS FRANCS S,E,75,11,13,3,3,33,50,11,1,1,12,06,34,0,1,0,1,61,76,,,55,41,,,31,31,,
2013,2013-04-06,16:43,SA,3,0,0,1,1,2,O,59010,,,,,,FER A CHEVAL,1,LEONARD DE VINCI,,,11,12,5,3,32,50,11,1,1,11,06,23,0,0,1,1,76,61,,,43,41,,,34,34,,
2013,2013-04-07,0:15,DI,3,0,0,1,1,2,O,66072,,,,,,CH ROCKLAND,1,AV VIVIAN,,,11,14,3,2,32,40,11,3,1,11,06,21,0,0,1,1,76,61,,,41,41,,,33,37,,
2013,2013-04-07,18:58,DI,3,0,0,1,1,2,O,23027,,,,00041,,AV PLANTE,2,WILFRID HAMEL,S,300,11,13,2,2,34,50,12,2,1,12,06,21,0,0,1,1,61,76,,,41,53,,,31,31,,
2013,2013-04-07,21:15,DI,3,0,0,1,1,2,O,71133,342,,,00470,,CH GDE LIGNE,1,CH MAIRIE,E,150,11,13,3,3,34,50,11,3,1,11,06,21,0,0,1,1,61,76,,,44,ND,,,31,ND,,
2013,2013-04-08,17:20,LU,3,0,0,1,1,2,O,66023,,,,00019,,SHAMROCK,2,ST DOMINIQUE,O,,11,14,2,2,33,40,11,1,,11,,21,0,0,1,1,76,61,,,53,41,,,31,31,,
2013,2013-04-08,19:50,LU,3,0,0,1,1,2,O,66023,,,,,,BERNARD O,1,JEANNE MANCE,,,11,13,2,3,32,40,12,3,1,11,06,99,0,0,1,1,76,61,,,41,44,,,40,40,,
2013,2013-04-08,8:40,LU,3,0,0,1,1,2,O,66023,,,,03840,,ST JULIEN,1,ST CUTHBERT,N,50,13,13,1,9,99,50,12,1,1,11,07,21,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-04-08,12:40,LU,3,0,0,1,1,2,O,65005,,,,,,CHOMEDEY,1,CARDINAL,,,11,13,4,3,32,50,11,1,1,11,06,26,0,0,1,1,61,76,,,44,41,,,34,34,,
2013,2013-04-09,10:00,MA,3,0,0,1,1,2,O,66023,,,,,,ST PATRICK,1,SHEARER,E,10,11,13,3,4,33,50,14,1,1,12,06,99,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-09,20:00,MA,3,0,0,1,1,2,O,62007,,,,,,LAPORTE,1,PRINCIPALE,,,11,12,2,3,32,50,12,3,1,11,06,99,0,0,1,1,76,61,,,41,43,,,31,40,,
2013,2013-04-10,11:10,ME,3,0,0,1,1,2,O,25213,,,,,,,1,ST JOSEPH ET MBR BOURGET,,,11,14,2,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,41,ND,,,40,40,,
2013,2013-04-10,18:30,ME,3,0,0,1,1,2,O,75017,,,,00000,,DU PALAIS,1,FOURNIER,E,,11,13,2,1,32,50,,1,1,,06,21,0,0,1,1,76,61,,,ND,ND,,,40,ND,,
2013,2013-04-11,14:45,JE,3,0,0,1,1,2,O,66023,,,,00209,,LAURIER E,1,HOTEL DE VILLE,E,8,11,13,1,3,34,40,12,1,1,11,05,99,0,0,1,1,76,69,,,41,44,,,99,31,,
2013,2013-04-11,9:10,JE,3,0,0,1,1,2,O,66023,,,,,,,1,SHERBROOKE ET TRIANON,,,11,13,5,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,43,41,,,33,33,,
2013,2013-04-11,15:16,JE,3,0,0,1,1,2,O,43027,,,,,,TERRILL,1,CHICOYNE,,,13,13,3,1,32,50,11,1,,11,,21,0,0,1,1,61,76,,,41,41,,,40,31,,
2013,2013-04-11,13:15,JE,3,0,0,1,1,2,O,94068,170,,,,,BD ROYAUME,,PRES DE BESY,,,11,12,3,3,33,50,11,1,1,11,10,99,0,0,1,1,61,76,,,41,99,,,31,99,,
2013,2013-04-11,7:10,JE,3,0,0,1,1,2,O,23072,,,,00258,,CH DE LA BUTTE,,,,,11,15,2,2,99,80,11,1,1,11,07,99,0,0,1,1,61,76,,,41,ND,,,31,ND,,
2013,2013-04-11,13:30,JE,3,0,0,1,1,2,O,23027,,,,,,JEAN LESAGE,1,ST HONORE,N,,11,13,3,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,41,41,,,34,39,,
2013,2013-04-12,14:30,VE,3,0,0,1,1,2,O,71083,,,,,,BOURGET,1,AV ST CHARLES,E,,11,14,2,3,32,50,17,1,1,16,06,21,0,0,1,1,61,76,,,41,51,,,31,31,,
2013,2013-04-13,12:06,SA,3,0,0,1,1,2,O,61035,,,,,,PETITE NORAIE,1,VISITATION,,,11,13,2,3,32,50,14,1,1,12,06,21,0,0,1,1,61,76,,,43,41,,,40,31,,
2013,2013-04-14,21:25,DI,3,0,0,1,1,2,O,65005,,,,,,BD STE ROSE,1,MTEE MONTROUGEAU,,,11,14,2,5,,50,11,3,1,11,06,99,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-04-14,12:50,DI,3,0,0,1,1,2,O,58227,,,,,,CHAMBLY,1,NOBERT,,,11,13,3,3,32,50,12,1,1,11,06,28,0,0,1,1,61,76,,,43,41,,,33,39,,
2013,2013-04-15,19:20,LU,3,0,0,1,1,2,,66023,,,,,,HOCHELAGA,1,JOLIETTE,,,11,14,3,1,32,50,11,2,1,11,06,99,0,0,1,1,61,76,,,44,99,,,34,31,,
2013,2013-04-15,12:40,LU,3,0,0,1,1,2,O,37067,,,,,,ST OLIVIER,1,DE LA VERENDRYE,,,11,14,2,2,32,50,12,1,1,11,06,99,0,0,1,1,61,76,,,44,41,,,40,99,,
2013,2013-04-15,18:45,LU,3,0,0,1,1,2,O,23027,,,,,,PRDE DES SOEURS,1,CANDIDE DUCHARME,,,12,13,2,2,32,50,11,1,1,11,06,26,0,0,1,1,61,76,,,44,41,,,31,31,,
2013,2013-04-15,18:15,LU,3,0,0,2,2,2,O,05032,,,,00157,,8E RUE,,,,,13,14,2,2,34,60,11,1,1,11,06,99,0,0,2,2,61,76,,,41,45,,,31,31,,
2013,2013-04-16,20:07,MA,3,0,0,1,1,2,O,67030,,,,05171,,RTE 132,,,N,,11,12,3,3,34,70,12,3,1,12,06,21,0,0,1,1,61,76,,,45,41,,,31,31,,
2013,2013-04-17,18:45,ME,3,0,0,1,1,2,O,66032,,,,,,BD MAISONNEUVE O,1,CLARKE,,,11,13,1,2,32,40,11,1,1,11,06,27,0,0,1,1,61,76,,,44,41,,,37,37,,
2013,2013-04-17,14:20,ME,3,0,0,1,1,2,O,66025,,,,01006,,JEAN TALON O,1,BIRNAM,O,5,11,14,3,2,32,50,11,1,1,11,06,88,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-17,15:12,ME,3,0,0,1,1,2,O,81017,,,,,,CH EARDLEY,1,DES HAUTES RIVES,,,11,13,4,2,,,11,1,1,11,06,99,0,0,1,1,61,76,,,41,41,,,34,34,,
