Date;;Berri1;Brébeuf;CSC (Côte Sainte-Catherine);Maisonneuve_1;Maisonneuve_2;Parc;PierDup;Rachel / Papineau
01/01/2010;00:00;36;0;;17;37;;;
02/01/2010;00:00;28;0;;24;47;;;
03/01/2010;00:00;39;0;;22;56;;;
04/01/2010;00:00;117;0;;71;237;;;
05/01/2010;00:00;225;0;;88;309;;;
06/01/2010;00:00;203;0;;102;339;;;
07/01/2010;00:00;192;0;;111;307;;;
08/01/2010;00:00;261;0;;125;333;;;
09/01/2010;00:00;88;0;;49;118;;;
10/01/2010;00:00;97;0;;49;93;;;
11/01/2010;00:00;231;0;;125;394;;;
12/01/2010;00:00;277;0;;151;428;;;
13/01/2010;00:00;256;0;;113;403;;;
14/01/2010;00:00;271;0;;161;413;;;
15/01/2010;00:00;301;0;;174;456;;;
16/01/2010;00:00;156;0;;68;191;;;
17/01/2010;00:00;133;0;;62;171;;;
18/01/2010;00:00;277;0;;152;463;;;
19/01/2010;00:00;350;0;;173;483;;;
20/01/2010;00:00;272;0;;177;479;;;
21/01/2010;00:00;318;0;;197;518;;;
22/01/2010;00:00;323;0;;202;493;;;
23/01/2010;00:00;165;0;;90;208;;;
24/01/2010;00:00;146;0;;75;199;;;
25/01/2010;00:00;183;0;;97;362;;;
26/01/2010;00:00;303;0;;186;517;;;
27/01/2010;00:00;376;0;;198;533;;;
28/01/2010;00:00;221;0;;154;361;;;
29/01/2010;00:00;159;0;;92;260;;;
30/01/2010;00:00;56;0;;37;70;;;
31/01/2010;00:00;82;0;;53;77;;;
01/02/2010;00:00;233;0;;111;348;;;
02/02/2010;00:00;270;0;;136;366;;;
03/02/2010;00:00;270;0;;159;444;;;
04/02/2010;00:00;260;0;;163;389;;;
05/02/2010;00:00;246;0;;181;397;;;
06/02/2010;00:00;111;0;;70;149;;;
07/02/2010;00:00;122;0;;65;143;;;
08/02/2010;00:00;222;0;;147;382;;;
09/02/2010;00:00;326;0;;199;442;;;
10/02/2010;00:00;339;0;;199;520;;;
11/02/2010;00:00;355;0;;233;524;;;
12/02/2010;00:00;314;0;;218;455;;;
13/02/2010;00:00;153;0;;90;191;;;
14/02/2010;00:00;131;0;;66;165;;;
15/02/2010;00:00;291;0;;169;513;;;
16/02/2010;00:00;416;0;;220;558;;;
17/02/2010;00:00;415;0;;225;545;;;
18/02/2010;00:00;345;0;;239;581;;;
19/02/2010;00:00;237;0;;170;314;;;
