Date;;Berri1;Brébeuf;CSC (Côte Sainte-Catherine);Maisonneuve_1;Maisonneuve_2;Parc;PierDup;Rachel / Papineau
01/01/2011;00:00;81;0;5;62;110;41;0;85
02/01/2011;00:00;95;0;21;79;169;68;6;124
03/01/2011;00:00;150;0;30;115;329;205;3;242
04/01/2011;00:00;232;0;34;163;441;250;0;205
05/01/2011;00:00;237;0;26;168;415;250;1;184
06/01/2011;00:00;252;0;20;168;429;261;1;242
07/01/2011;00:00;228;0;19;163;390;222;1;215
08/01/2011;00:00;117;0;5;70;145;82;0;148
09/01/2011;00:00;127;0;5;62;144;102;0;121
10/01/2011;00:00;252;0;8;190;441;215;2;190
11/01/2011;00:00;348;0;6;190;488;259;4;243
12/01/2011;00:00;289;0;6;199;466;237;0;249
13/01/2011;00:00;309;0;6;191;489;266;0;269
14/01/2011;00:00;236;0;2;175;464;229;3;246
15/01/2011;00:00;93;0;0;47;139;53;1;90
16/01/2011;00:00;91;0;1;49;101;61;2;2
17/01/2011;00:00;178;0;2;109;322;179;1;8
18/01/2011;00:00;310;0;1;181;368;208;3;8
19/01/2011;00:00;269;0;0;107;395;178;0;2
20/01/2011;00:00;296;0;0;109;409;211;2;4
21/01/2011;00:00;182;0;2;103;312;145;3;5
22/01/2011;00:00;64;0;0;44;102;50;3;0
23/01/2011;00:00;63;0;12;31;76;35;3;0
24/01/2011;00:00;133;0;8;69;261;138;2;7
25/01/2011;00:00;173;0;8;101;325;162;2;34
26/01/2011;00:00;230;0;2;143;336;151;0;50
27/01/2011;00:00;287;0;4;158;423;210;3;115
28/01/2011;00:00;268;0;5;152;431;217;1;101
29/01/2011;00:00;82;0;3;36;99;51;3;6
30/01/2011;00:00;84;0;0;50;103;47;1;0
31/01/2011;00:00;206;0;3;97;361;181;1;7
01/02/2011;00:00;269;0;0;145;398;182;3;6
02/02/2011;00:00;68;0;0;35;89;59;1;1
03/02/2011;00:00;138;0;0;82;276;108;0;0
04/02/2011;00:00;166;0;0;114;356;119;0;0
05/02/2011;00:00;98;0;0;48;178;69;0;0
06/02/2011;00:00;63;0;1;41;76;55;1;0
07/02/2011;00:00;174;0;0;92;350;175;1;0
08/02/2011;00:00;199;0;0;74;284;118;0;0
09/02/2011;00:00;204;0;0;106;320;107;0;0
10/02/2011;00:00;227;0;15;123;374;142;0;0
11/02/2011;00:00;227;0;7;138;366;155;0;85
12/02/2011;00:00;63;0;5;48;74;44;0;15
13/02/2011;00:00;51;0;0;38;93;45;0;1
14/02/2011;00:00;104;0;0;44;241;89;0;3
15/02/2011;00:00;165;0;2;96;317;129;0;8
16/02/2011;00:00;245;0;9;117;354;123;0;56
17/02/2011;00:00;274;0;20;152;437;192;0;144
18/02/2011;00:00;305;0;114;179;518;229;0;214
19/02/2011;00:00;131;0;32;85;139;48;0;96
20/02/2011;00:00;103;0;28;78;146;55;0;128
21/02/2011;00:00;208;0;35;130;301;148;0;149
22/02/2011;00:00;299;0;60;159;358;183;1;210
23/02/2011;00:00;336;0;91;174;388;192;1;264
24/02/2011;00:00;368;0;108;207;455;205;0;295
25/02/2011;00:00;239;0;37;121;274;107;0;123
26/02/2011;00:00;128;0;2;78;131;49;1;27
27/02/2011;00:00;97;0;0;70;117;41;2;30
28/02/2011;00:00;36;0;1;60;184;77;0;10
01/03/2011;00:00;102;0;0;51;333;158;1;3
02/03/2011;00:00;144;0;9;33;378;165;3;3
03/03/2011;00:00;185;0;5;26;373;178;0;0
04/03/2011;00:00;227;0;2;28;417;200;1;0
05/03/2011;00:00;79;0;0;25;100;58;0;0
06/03/2011;00:00;56;0;0;16;26;32;0;1
07/03/2011;00:00;21;0;0;19;51;30;0;0
08/03/2011;00:00;139;0;0;84;307;115;0;20
09/03/2011;00:00;214;0;6;119;397;155;1;45
10/03/2011;00:00;79;0;1;32;99;41;0;1
11/03/2011;00:00;180;0;2;91;309;82;0;0
12/03/2011;00:00;152;0;0;72;243;88;2;0
13/03/2011;00:00;169;0;0;63;231;84;4;2
14/03/2011;00:00;350;0;9;200;661;247;3;11
15/03/2011;00:00;533;0;42;310;868;370;8;28
16/03/2011;00:00;312;0;75;204;551;245;2;71
17/03/2011;00:00;612;0;209;377;1054;480;20;341
18/03/2011;00:00;559;0;232;349;912;513;4;470
19/03/2011;00:00;418;0;184;220;562;295;0;480
20/03/2011;00:00;499;0;204;289;749;439;0;570
21/03/2011;00:00;255;0;97;159;468;209;0;243
22/03/2011;00:00;388;0;14;233;615;298;0;321
23/03/2011;00:00;544;0;40;316;872;511;0;523
24/03/2011;00:00;401;0;38;253;664;363;0;432
25/03/2011;00:00;535;0;105;338;891;490;0;551
26/03/2011;00:00;328;0;58;222;498;288;0;470
27/03/2011;00:00;246;0;63;158;371;215;0;357
28/03/2011;00:00;483;0;175;309;840;504;0;527
29/03/2011;00:00;764;0;300;502;1153;708;0;820
30/03/2011;00:00;1034;0;497;676;1553;966;0;1116
31/03/2011;00:00;1011;0;582;757;1667;1021;0;1101
01/04/2011;00:00;755;354;388;534;1185;784;840;797
02/04/2011;00:00;909;947;392;482;1164;645;298;1120
03/04/2011;00:00;1099;1197;472;540;1213;707;471;1425
04/04/2011;00:00;600;504;339;398;905;589;55;679
05/04/2011;00:00;729;710;423;515;1109;689;54;831
06/04/2011;00:00;1544;1425;820;1015;2196;1211;215;1443
07/04/2011;00:00;1755;1601;964;1112;2448;1497;349;1725
08/04/2011;00:00;2083;2219;997;1357;2679;1548;471;2083
09/04/2011;00:00;1806;2052;788;917;1797;1038;802;2218
10/04/2011;00:00;1422;1806;673;676;1402;780;781;1854
11/04/2011;00:00;1111;1088;569;693;1533;985;102;1139
12/04/2011;00:00;2882;2943;1285;1846;3346;1948;630;2453
13/04/2011;00:00;1090;1191;552;706;1472;914;151;1120
14/04/2011;00:00;2136;1992;988;1357;2650;1450;400;2033
15/04/2011;00:00;2146;2281;847;1447;2645;1529;365;1973
16/04/2011;00:00;609;676;273;387;742;404;157;742
17/04/2011;00:00;658;659;289;443;873;465;134;794
18/04/2011;00:00;1747;1733;696;1129;2211;1361;224;1656
19/04/2011;00:00;1113;2717;1192;1850;3239;1895;762;2554
20/04/2011;00:00;0;498;193;318;678;398;38;530
21/04/2011;00:00;0;1453;680;1197;2311;1259;150;1582
22/04/2011;00:00;0;2513;869;1456;2592;1236;1293;2519
23/04/2011;00:00;0;610;223;358;867;378;36;815
24/04/2011;00:00;0;1949;690;819;1783;975;1252;1982
25/04/2011;00:00;0;3131;1065;1546;3020;1520;1948;3092
26/04/2011;00:00;0;1134;560;929;1976;1075;167;1356
27/04/2011;00:00;0;2043;881;1507;3005;1535;339;1984
28/04/2011;00:00;0;1489;753;1275;2635;1302;259;1730
29/04/2011;00:00;0;2907;1088;2012;3740;1871;681;2583
30/04/2011;00:00;0;3889;1300;1948;3621;1727;2181;3942
01/05/2011;00:00;0;4905;1415;2267;3964;2101;2912;4846
02/05/2011;00:00;0;2595;1050;2089;3675;1930;489;2537
03/05/2011;00:00;0;1952;808;1430;2418;1396;375;1804
04/05/2011;00:00;0;1397;551;949;1791;1031;173;1267
05/05/2011;00:00;0;1155;551;873;1626;975;130;1253
06/05/2011;00:00;0;3208;1280;2405;4163;2023;794;2996
07/05/2011;00:00;0;3091;1178;1792;3389;1504;1525;3269
08/05/2011;00:00;0;3689;1349;1627;3584;1876;2294;4059
09/05/2011;00:00;0;5334;2171;3508;6121;3222;1523;4691
10/05/2011;00:00;0;5398;2294;3839;6480;3242;1663;4935
11/05/2011;00:00;0;5774;2306;3215;6569;3418;1652;4742
12/05/2011;00:00;0;5568;2294;3918;6680;3524;1988;5058
